Trace,VG,ID
VDS,0.025,0.025
0,+0.000000E+000,-2.780000E-012
1,+1.000000E-002,-3.120000E-012
2,+2.000000E-002,-3.410000E-012
3,+3.000000E-002,-3.690000E-012
4,+4.000000E-002,-3.820000E-012
5,+5.000000E-002,-3.960000E-012
6,+6.000000E-002,-4.090000E-012
7,+7.000000E-002,-4.120000E-012
8,+8.000000E-002,-4.020000E-012
9,+9.000000E-002,-3.950000E-012
10,+1.000000E-001,-3.740000E-012
11,+1.100000E-001,-3.290000E-012
12,+1.200000E-001,-2.660000E-012
13,+1.300000E-001,-1.720000E-012
14,+1.400000E-001,-3.000000E-013
15,+1.500000E-001,+1.750000E-012
16,+1.600000E-001,+4.310000E-012
17,+1.700000E-001,+8.240000E-012
18,+1.800000E-001,+1.368000E-011
19,+1.900000E-001,+2.033000E-011
20,+2.000000E-001,+2.977000E-011
21,+2.100000E-001,+4.209000E-011
22,+2.200000E-001,+5.850000E-011
23,+2.300000E-001,+8.065000E-011
24,+2.400000E-001,+1.098000E-010
25,+2.500000E-001,+1.497500E-010
26,+2.600000E-001,+2.018100E-010
27,+2.700000E-001,+2.703900E-010
28,+2.800000E-001,+3.636600E-010
29,+2.900000E-001,+4.827300E-010
30,+3.000000E-001,+6.405100E-010
31,+3.100000E-001,+8.490400E-010
32,+3.200000E-001,+1.113450E-009
33,+3.300000E-001,+1.467590E-009
34,+3.400000E-001,+1.946370E-009
35,+3.500000E-001,+2.570700E-009
36,+3.600000E-001,+3.377010E-009
37,+3.700000E-001,+4.388140E-009
38,+3.800000E-001,+5.791820E-009
39,+3.900000E-001,+7.484270E-009
40,+4.000000E-001,+9.572430E-009
41,+4.100000E-001,+1.261140E-008
42,+4.200000E-001,+1.641870E-008
43,+4.300000E-001,+2.124960E-008
44,+4.400000E-001,+2.734290E-008
45,+4.500000E-001,+3.512920E-008
46,+4.600000E-001,+4.530150E-008
47,+4.700000E-001,+5.772550E-008
48,+4.800000E-001,+7.357690E-008
49,+4.900000E-001,+9.351330E-008
50,+5.000000E-001,+1.188200E-007
51,+5.100000E-001,+1.517580E-007
52,+5.200000E-001,+1.913220E-007
53,+5.300000E-001,+2.376980E-007
54,+5.400000E-001,+2.934220E-007
55,+5.500000E-001,+3.603460E-007
56,+5.600000E-001,+4.414550E-007
57,+5.700000E-001,+5.382290E-007
58,+5.800000E-001,+6.503550E-007
59,+5.900000E-001,+7.752800E-007
60,+6.000000E-001,+9.228570E-007
61,+6.100000E-001,+1.089591E-006
62,+6.200000E-001,+1.282390E-006
63,+6.300000E-001,+1.487970E-006
64,+6.400000E-001,+1.717910E-006
65,+6.500000E-001,+1.979350E-006
66,+6.600000E-001,+2.261240E-006
67,+6.700000E-001,+2.571210E-006
68,+6.800000E-001,+2.928540E-006
69,+6.900000E-001,+3.288640E-006
70,+7.000000E-001,+3.674900E-006
71,+7.100000E-001,+4.105600E-006
72,+7.200000E-001,+4.566970E-006
73,+7.300000E-001,+5.041120E-006
74,+7.400000E-001,+5.551280E-006
75,+7.500000E-001,+6.089340E-006
76,+7.600000E-001,+6.643040E-006
77,+7.700000E-001,+7.221780E-006
78,+7.800000E-001,+7.807620E-006
79,+7.900000E-001,+8.469990E-006
80,+8.000000E-001,+9.099740E-006
81,+8.100000E-001,+9.752350E-006
82,+8.200000E-001,+1.039578E-005
83,+8.300000E-001,+1.111749E-005
84,+8.400000E-001,+1.182150E-005
85,+8.500000E-001,+1.251990E-005
86,+8.600000E-001,+1.323000E-005
87,+8.700000E-001,+1.399050E-005
88,+8.800000E-001,+1.475230E-005
89,+8.900000E-001,+1.550820E-005
90,+9.000000E-001,+1.630570E-005
91,+9.100000E-001,+1.706080E-005
92,+9.200000E-001,+1.784620E-005
93,+9.300000E-001,+1.863060E-005
94,+9.400000E-001,+1.942190E-005
95,+9.500000E-001,+2.022820E-005
96,+9.600000E-001,+2.102910E-005
97,+9.700000E-001,+2.184350E-005
98,+9.800000E-001,+2.267850E-005
99,+9.900000E-001,+2.350160E-005
100,+1.000000E+000,+2.427980E-005
101,+1.010000E+000,+2.509780E-005
102,+1.020000E+000,+2.592020E-005
103,+1.030000E+000,+2.678510E-005
104,+1.040000E+000,+2.758370E-005
105,+1.050000E+000,+2.838690E-005
106,+1.060000E+000,+2.921190E-005
107,+1.070000E+000,+3.003640E-005
108,+1.080000E+000,+3.081500E-005
109,+1.090000E+000,+3.164050E-005
110,+1.100000E+000,+3.242950E-005
111,+1.110000E+000,+3.325290E-005
112,+1.120000E+000,+3.403280E-005
113,+1.130000E+000,+3.486140E-005
114,+1.140000E+000,+3.563400E-005
115,+1.150000E+000,+3.640850E-005
