Trace,VG,ID
VDS,0.025,0.025
0,+0.000000E+000,+1.030000E-012
1,+1.000000E-002,+8.100000E-013
2,+2.000000E-002,+6.700000E-013
3,+3.000000E-002,+7.000000E-013
4,+4.000000E-002,+6.900000E-013
5,+5.000000E-002,+5.500000E-013
6,+6.000000E-002,+5.900000E-013
7,+7.000000E-002,+5.100000E-013
8,+8.000000E-002,+5.500000E-013
9,+9.000000E-002,+8.100000E-013
10,+1.000000E-001,+3.600000E-013
11,+1.100000E-001,+3.700000E-013
12,+1.200000E-001,+3.100000E-013
13,+1.300000E-001,+8.200000E-013
14,+1.400000E-001,-3.000000E-014
15,+1.500000E-001,+2.700000E-013
16,+1.600000E-001,+1.200000E-013
17,+1.700000E-001,+1.500000E-013
18,+1.800000E-001,+4.700000E-013
19,+1.900000E-001,-2.000000E-013
20,+2.000000E-001,+6.200000E-013
21,+2.100000E-001,+2.300000E-013
22,+2.200000E-001,-6.400000E-013
23,+2.300000E-001,-4.000000E-014
24,+2.400000E-001,+1.000000E-014
25,+2.500000E-001,+4.700000E-013
26,+2.600000E-001,-6.000000E-014
27,+2.700000E-001,-2.000000E-013
28,+2.800000E-001,-1.700000E-013
29,+2.900000E-001,-1.900000E-013
30,+3.000000E-001,-2.800000E-013
31,+3.100000E-001,-2.800000E-013
32,+3.200000E-001,-3.000000E-013
33,+3.300000E-001,-3.200000E-013
34,+3.400000E-001,-4.000000E-013
35,+3.500000E-001,-3.800000E-013
36,+3.600000E-001,-3.400000E-013
37,+3.700000E-001,-4.000000E-013
38,+3.800000E-001,-3.000000E-013
39,+3.900000E-001,-3.900000E-013
40,+4.000000E-001,-3.200000E-013
41,+4.100000E-001,-1.000000E-013
42,+4.200000E-001,+6.600000E-013
43,+4.300000E-001,+2.180000E-012
44,+4.400000E-001,+5.610000E-012
45,+4.500000E-001,+1.280000E-011
46,+4.600000E-001,+2.793000E-011
47,+4.700000E-001,+5.668000E-011
48,+4.800000E-001,+1.149400E-010
49,+4.900000E-001,+2.173300E-010
50,+5.000000E-001,+4.134700E-010
51,+5.100000E-001,+7.614900E-010
52,+5.200000E-001,+1.149910E-009
53,+5.300000E-001,+2.315180E-009
54,+5.400000E-001,+4.036230E-009
55,+5.500000E-001,+6.607420E-009
56,+5.600000E-001,+1.073909E-008
57,+5.700000E-001,+1.715860E-008
58,+5.800000E-001,+2.608100E-008
59,+5.900000E-001,+3.870600E-008
60,+6.000000E-001,+5.541600E-008
61,+6.100000E-001,+7.775210E-008
62,+6.200000E-001,+1.074910E-007
63,+6.300000E-001,+1.462780E-007
64,+6.400000E-001,+1.964370E-007
65,+6.500000E-001,+2.609910E-007
66,+6.600000E-001,+3.417180E-007
67,+6.700000E-001,+4.428200E-007
68,+6.800000E-001,+5.666650E-007
69,+6.900000E-001,+7.171650E-007
70,+7.000000E-001,+8.929520E-007
71,+7.100000E-001,+1.104830E-006
72,+7.200000E-001,+1.332080E-006
73,+7.300000E-001,+1.621750E-006
74,+7.400000E-001,+1.952630E-006
75,+7.500000E-001,+2.328230E-006
76,+7.600000E-001,+2.752030E-006
77,+7.700000E-001,+3.223700E-006
78,+7.800000E-001,+3.751220E-006
79,+7.900000E-001,+4.324600E-006
80,+8.000000E-001,+4.958590E-006
81,+8.100000E-001,+5.636870E-006
82,+8.200000E-001,+6.366950E-006
83,+8.300000E-001,+7.142040E-006
84,+8.400000E-001,+7.971590E-006
85,+8.500000E-001,+8.821800E-006
86,+8.600000E-001,+9.697290E-006
87,+8.700000E-001,+1.065536E-005
88,+8.800000E-001,+1.164170E-005
89,+8.900000E-001,+1.267280E-005
90,+9.000000E-001,+1.375150E-005
91,+9.100000E-001,+1.483600E-005
92,+9.200000E-001,+1.598160E-005
93,+9.300000E-001,+1.714240E-005
94,+9.400000E-001,+1.834620E-005
95,+9.500000E-001,+1.957730E-005
96,+9.600000E-001,+2.081540E-005
97,+9.700000E-001,+2.209010E-005
98,+9.800000E-001,+2.341530E-005
99,+9.900000E-001,+2.469450E-005
100,+1.000000E+000,+2.602140E-005
101,+1.010000E+000,+2.728310E-005
102,+1.020000E+000,+2.861780E-005
103,+1.030000E+000,+2.996580E-005
104,+1.040000E+000,+3.130350E-005
105,+1.050000E+000,+3.264840E-005
106,+1.060000E+000,+3.400940E-005
107,+1.070000E+000,+3.534590E-005
108,+1.080000E+000,+3.669080E-005
109,+1.090000E+000,+3.796820E-005
110,+1.100000E+000,+3.930920E-005
111,+1.110000E+000,+4.064560E-005
112,+1.120000E+000,+4.196880E-005
113,+1.130000E+000,+4.329830E-005
114,+1.140000E+000,+4.463820E-005
115,+1.150000E+000,+4.594360E-005
116,+1.160000E+000,+4.728120E-005
117,+1.170000E+000,+4.857360E-005
118,+1.180000E+000,+4.987450E-005
119,+1.190000E+000,+5.114520E-005
120,+1.200000E+000,+5.243110E-005
121,+1.210000E+000,+5.370860E-005
122,+1.220000E+000,+5.497840E-005
123,+1.230000E+000,+5.623250E-005
124,+1.240000E+000,+5.747650E-005
125,+1.250000E+000,+5.872540E-005
126,+1.260000E+000,+5.996660E-005
127,+1.270000E+000,+6.116910E-005
128,+1.280000E+000,+6.237360E-005
129,+1.290000E+000,+6.357610E-005
130,+1.300000E+000,+6.475610E-005
131,+1.310000E+000,+6.592640E-005
132,+1.320000E+000,+6.709300E-005
133,+1.330000E+000,+6.824650E-005
134,+1.340000E+000,+6.943290E-005
135,+1.350000E+000,+7.054960E-005
136,+1.360000E+000,+7.164870E-005
137,+1.370000E+000,+7.276400E-005
138,+1.380000E+000,+7.389100E-005
139,+1.390000E+000,+7.495270E-005
140,+1.400000E+000,+7.605500E-005
141,+1.410000E+000,+7.711000E-005
142,+1.420000E+000,+7.818620E-005
143,+1.430000E+000,+7.925630E-005
144,+1.440000E+000,+8.027970E-005
145,+1.450000E+000,+8.132280E-005
146,+1.460000E+000,+8.233620E-005
147,+1.470000E+000,+8.329750E-005
148,+1.480000E+000,+8.434170E-005
149,+1.490000E+000,+8.533710E-005
150,+1.500000E+000,+8.633770E-005
