Trace,VG,ID
VDS,0.025,0.025
0,+0.000000E+000,+2.800000E-013
1,+1.000000E-002,+5.000000E-014
2,+2.000000E-002,-8.000000E-014
3,+3.000000E-002,+4.000000E-014
4,+4.000000E-002,-6.000000E-014
5,+5.000000E-002,-1.000000E-013
6,+6.000000E-002,-1.100000E-013
7,+7.000000E-002,-8.000000E-014
8,+8.000000E-002,-1.600000E-013
9,+9.000000E-002,-1.600000E-013
10,+1.000000E-001,-1.300000E-013
11,+1.100000E-001,-2.100000E-013
12,+1.200000E-001,-2.000000E-013
13,+1.300000E-001,-2.200000E-013
14,+1.400000E-001,-2.000000E-013
15,+1.500000E-001,-3.200000E-013
16,+1.600000E-001,+1.000000E-013
17,+1.700000E-001,-3.200000E-013
18,+1.800000E-001,-7.900000E-013
19,+1.900000E-001,-3.600000E-013
20,+2.000000E-001,-4.000000E-013
21,+2.100000E-001,-3.100000E-013
22,+2.200000E-001,-4.500000E-013
23,+2.300000E-001,-4.400000E-013
24,+2.400000E-001,-4.000000E-013
25,+2.500000E-001,-4.000000E-013
26,+2.600000E-001,-4.100000E-013
27,+2.700000E-001,-4.600000E-013
28,+2.800000E-001,-4.100000E-013
29,+2.900000E-001,-5.400000E-013
30,+3.000000E-001,-5.600000E-013
31,+3.100000E-001,-5.000000E-013
32,+3.200000E-001,-5.800000E-013
33,+3.300000E-001,-4.500000E-013
34,+3.400000E-001,-6.100000E-013
35,+3.500000E-001,-5.400000E-013
36,+3.600000E-001,-5.600000E-013
37,+3.700000E-001,-6.200000E-013
38,+3.800000E-001,-6.800000E-013
39,+3.900000E-001,-5.900000E-013
40,+4.000000E-001,-6.400000E-013
41,+4.100000E-001,-7.000000E-013
42,+4.200000E-001,-6.900000E-013
43,+4.300000E-001,-6.600000E-013
44,+4.400000E-001,-7.800000E-013
45,+4.500000E-001,-7.200000E-013
46,+4.600000E-001,-7.100000E-013
47,+4.700000E-001,-7.100000E-013
48,+4.800000E-001,-6.200000E-013
49,+4.900000E-001,-4.200000E-013
50,+5.000000E-001,+7.800000E-013
51,+5.100000E-001,+6.850000E-012
52,+5.200000E-001,+2.384000E-011
53,+5.300000E-001,+5.732000E-011
54,+5.400000E-001,+1.785600E-010
55,+5.500000E-001,+5.535500E-010
56,+5.600000E-001,+1.422190E-009
57,+5.700000E-001,+3.044480E-009
58,+5.800000E-001,+5.998450E-009
59,+5.900000E-001,+1.011792E-008
60,+6.000000E-001,+1.463910E-008
61,+6.100000E-001,+1.864520E-008
62,+6.200000E-001,+2.210490E-008
63,+6.300000E-001,+2.841150E-008
64,+6.400000E-001,+3.825020E-008
65,+6.500000E-001,+5.362540E-008
66,+6.600000E-001,+7.734700E-008
67,+6.700000E-001,+1.085196E-007
68,+6.800000E-001,+1.457400E-007
69,+6.900000E-001,+1.906050E-007
70,+7.000000E-001,+2.496790E-007
71,+7.100000E-001,+3.274090E-007
72,+7.200000E-001,+4.324590E-007
73,+7.300000E-001,+5.611490E-007
74,+7.400000E-001,+7.273580E-007
75,+7.500000E-001,+9.346060E-007
76,+7.600000E-001,+1.099910E-006
77,+7.700000E-001,+1.384970E-006
78,+7.800000E-001,+1.727810E-006
79,+7.900000E-001,+2.120040E-006
80,+8.000000E-001,+2.587320E-006
81,+8.100000E-001,+3.166830E-006
82,+8.200000E-001,+3.793540E-006
83,+8.300000E-001,+4.473630E-006
84,+8.400000E-001,+5.267770E-006
85,+8.500000E-001,+6.077530E-006
86,+8.600000E-001,+6.945620E-006
87,+8.700000E-001,+7.870350E-006
88,+8.800000E-001,+8.806050E-006
89,+8.900000E-001,+9.777710E-006
90,+9.000000E-001,+1.084144E-005
91,+9.100000E-001,+1.193540E-005
92,+9.200000E-001,+1.316710E-005
93,+9.300000E-001,+1.444590E-005
94,+9.400000E-001,+1.579530E-005
95,+9.500000E-001,+1.716710E-005
